pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.2921983681442607,UCD-0001014,Healthy,Neuronal Signaling
0.3156680387050741,UCD-0001014,Healthy,Neuronal Signaling
0.40711122703584,UCD-0001014,Healthy,Neuronal Signaling
0.3023350309829917,UCD-0001014,Healthy,Neuronal Signaling
0.24364051729522565,UCD-0001014,Healthy,Neuronal Signaling
0.2950152099830501,UCD-0001014,Healthy,Neuronal Signaling
0.4118781874791175,UCD-0001014,Healthy,Neuronal Signaling
0.24284399909017884,UCD-0001014,Healthy,Neuronal Signaling
0.2716786441700431,UCD-0001014,Healthy,Neuronal Signaling
0.24815978376832432,UCD-0001014,Healthy,Neuronal Signaling
0.2651602407564556,UCD-0001014,Healthy,Neuronal Signaling
0.12125736580805958,UCD-0001014,Healthy,Neuronal Signaling
0.10953191205319548,UCD-0001014,Healthy,Neuronal Signaling
0.15183470661832812,UCD-0001014,Healthy,Neuronal Signaling
0.6031783365014332,UCD-0001014,Healthy,Neuronal Signaling
0.45177131007853616,UCD-0001014,Healthy,Neuronal Signaling
0.5353617483341174,UCD-0001014,Healthy,Neuronal Signaling
0.4715507887421118,UCD-0001014,Healthy,Neuronal Signaling
0.5063473092723658,UCD-0001014,Healthy,Neuronal Signaling
0.40609332470134824,UCD-0001014,Healthy,Neuronal Signaling
0.4502880884757706,UCD-0001014,Healthy,Neuronal Signaling
0.4210582907406144,UCD-0001014,Healthy,Neuronal Signaling
0.4532833820819758,UCD-0001014,Healthy,Neuronal Signaling
0.3828758578998359,UCD-0001014,Healthy,Neuronal Signaling
0.3639331057591883,UCD-0001014,Healthy,Neuronal Signaling
0.37199317840876994,UCD-0001014,Healthy,Neuronal Signaling
0.4815749733088898,UCD-0001014,Healthy,Neuronal Signaling
0.44031877099854344,UCD-0001014,Healthy,Neuronal Signaling
0.43957537080088266,UCD-0001014,Healthy,Neuronal Signaling
0.4885124084960385,UCD-0001014,Healthy,Neuronal Signaling
0.4228187713523589,UCD-0001014,Healthy,Neuronal Signaling
0.25853916555049267,UCD-0001014,Healthy,Neuronal Signaling
0.3385168617836011,UCD-0001014,Healthy,Neuronal Signaling
0.27685867670865905,UCD-0001014,Healthy,Neuronal Signaling
0.36178753600991226,UCD-0001014,Healthy,Neuronal Signaling
0.14752659920014002,UCD-0001014,Healthy,Neuronal Signaling
0.2601905428669997,UCD-0001014,Healthy,Neuronal Signaling
0.17789602203440266,UCD-0001014,Healthy,Neuronal Signaling
0.32276397763339754,UCD-0001014,Healthy,Neuronal Signaling
0.1801584215509286,UCD-0001014,Healthy,Neuronal Signaling
0.20242501950409703,UCD-0001014,Healthy,Neuronal Signaling
0.1757984588528842,UCD-0001014,Healthy,Neuronal Signaling
0.1720215353706043,UCD-0001014,Healthy,Neuronal Signaling
0.07602017218104237,UCD-0001014,Healthy,Neuronal Signaling
-0.017975343800281852,UCD-0001014,Healthy,Neuronal Signaling
0.03844451126659214,UCD-0001014,Healthy,Neuronal Signaling
0.14257705177689475,UCD-0001016,Healthy,Neuronal Signaling
0.2444115387733519,UCD-0001016,Healthy,Neuronal Signaling
0.33482263953702807,UCD-0001016,Healthy,Neuronal Signaling
0.34637176464508285,UCD-0001016,Healthy,Neuronal Signaling
0.1306482281248669,UCD-0001016,Healthy,Neuronal Signaling
0.23511509853331305,UCD-0001016,Healthy,Neuronal Signaling
0.28668366861001365,UCD-0001016,Healthy,Neuronal Signaling
0.30548422016082993,UCD-0001016,Healthy,Neuronal Signaling
0.07022111009790101,UCD-0001016,Healthy,Neuronal Signaling
0.16018576960924155,UCD-0001016,Healthy,Neuronal Signaling
0.20847604894976482,UCD-0001016,Healthy,Neuronal Signaling
0.26549731198804066,UCD-0001016,Healthy,Neuronal Signaling
0.030409987271208708,UCD-0001016,Healthy,Neuronal Signaling
0.11904915626022826,UCD-0001016,Healthy,Neuronal Signaling
0.11961673578377902,UCD-0001016,Healthy,Neuronal Signaling
0.24143482975577782,UCD-0001016,Healthy,Neuronal Signaling
